CRN,Cap,Act,Rem,Status
38850,40,--,0,CLOSED
38869,40,--,0,CLOSED
35088,35,--,0,CLOSED
31107,40,--,0,CLOSED
36167,40,--,0,CLOSED
36716,40,--,0,CLOSED
32165,40,--,0,CLOSED
38579,40,--,0,CLOSED
30498,30,--,0,CLOSED
38654,30,--,0,CLOSED
32354,30,--,0,CLOSED
35653,30,--,0,CLOSED
38671,30,--,0,CLOSED
30017,30,--,0,CLOSED
30766,30,--,0,CLOSED
31776,30,--,0,CLOSED
32166,30,--,0,CLOSED
33126,30,--,0,CLOSED
37704,30,--,0,CLOSED
33201,30,--,0,CLOSED
36342,30,--,0,CLOSED
37181,30,--,0,CLOSED
35882,30,--,0,Waitlisted
37994,30,--,0,Waitlisted
38660,30,--,0,Waitlisted
38698,30,29,1,OPEN
36717,25,--,0,CLOSED
32054,40,--,0,CLOSED
38666,40,--,0,CLOSED
37571,40,--,0,CLOSED
37263,24,--,0,CLOSED
37264,24,--,0,CLOSED
37266,24,--,0,CLOSED
37267,24,--,0,CLOSED
37269,24,--,0,CLOSED
37270,24,--,0,CLOSED
37272,24,--,0,CLOSED
37579,24,--,0,CLOSED
37815,24,--,0,CLOSED
38603,24,--,0,CLOSED
37276,24,--,0,CLOSED
37587,24,--,0,CLOSED
37847,60,--,0,CLOSED
32185,60,--,0,CLOSED
37581,60,--,0,CLOSED
37582,60,--,0,CLOSED
37908,20,--,0,CLOSED
37909,20,--,0,CLOSED
38261,24,--,0,CLOSED
37590,24,--,0,CLOSED
34605,12,--,0,CLOSED
37999,28,--,0,CLOSED
30490,28,--,0,CLOSED
34765,28,--,0,Waitlisted
33388,30,--,0,CLOSED
36629,28,--,0,CLOSED
31215,24,--,0,CLOSED
31750,24,--,0,CLOSED
33778,24,--,0,CLOSED
31494,24,--,0,CLOSED
37439,28,--,0,CLOSED
37930,28,--,0,CLOSED
37432,28,--,0,CLOSED
37433,28,--,0,CLOSED
37434,28,--,0,CLOSED
37436,28,--,0,CLOSED
37437,28,--,0,CLOSED
37435,28,--,0,CLOSED
37438,28,--,0,CLOSED
37440,24,--,0,CLOSED
37855,24,--,0,CLOSED
37441,24,--,0,CLOSED
37442,24,--,0,CLOSED
38266,24,--,0,CLOSED
38265,24,--,0,CLOSED
38264,24,--,0,CLOSED
34982,35,--,0,CLOSED
33882,35,--,0,CLOSED
33883,35,--,0,CLOSED
32104,28,--,0,CLOSED
38741,5,--,0,CLOSED
30202,24,--,0,CLOSED
32455,24,--,0,CLOSED
38719,27,--,0,CLOSED
37225,40,--,0,CLOSED
37929,40,--,0,CLOSED
38276,40,--,0,CLOSED
37827,40,--,0,CLOSED
37949,40,--,0,CLOSED
38282,40,--,0,CLOSED
38283,40,--,0,CLOSED
37226,40,--,0,CLOSED
31481,40,--,0,CLOSED
30208,30,--,0,CLOSED
30918,40,--,0,CLOSED
38354,40,14,26,OPEN
38605,40,--,0,CLOSED
38279,40,--,0,CLOSED
38450,40,--,0,CLOSED
31314,40,--,0,CLOSED
38281,40,--,0,CLOSED
34048,24,--,0,CLOSED
37948,24,9,15,OPEN
30364,24,--,0,CLOSED
32235,24,17,7,OPEN
38448,40,--,0,CLOSED
35110,40,26,14,OPEN
31240,40,--,0,CLOSED
31250,40,--,0,CLOSED
31393,40,--,0,CLOSED
31399,40,--,0,CLOSED
31572,40,--,0,CLOSED
32582,35,--,0,CLOSED
35656,40,--,0,CLOSED
35657,40,--,0,CLOSED
36718,40,--,0,CLOSED
38784,35,--,0,CLOSED
31252,40,--,0,CLOSED
31317,40,--,0,CLOSED
36170,40,--,0,CLOSED
38271,40,--,0,CLOSED
31475,40,--,0,CLOSED
31659,40,--,0,CLOSED
32581,40,--,0,CLOSED
33055,40,--,0,CLOSED
33266,40,--,0,CLOSED
33273,40,--,0,CLOSED
34688,40,--,0,CLOSED
36173,40,--,0,CLOSED
